place_id,name,description,is_spending_on_ads,reviews,rating,competitors,website,phone,can_claim,owner_name,owner_profile_link,featured_image,main_category,categories,workday_timing,is_temporarily_closed,closed_on,address,review_keywords,link,query
ChIJmzrgKOJzhlQRdCAkZGcyLv0,Burdock & Co,"Burdock & Co is a sustainability-minded, tasting menu focused restaurant in the heart of Vancouver's Mount Pleasant neighbourhood. Recognized by Guide Michelin with the One Star designation 2022, 2023, and 2024, Burdock & Co accepts reservations for our full tasting menu experience, as well as walk ins as space permits for either tasting menu or a la carte dining.",1,631,4.2,"Name: Burgoo
Link: https://www.google.com/maps/search/Burgoo/@49.2576533,-123.10088750000001?authuser=0&hl=en&entry=ttu
Reviews: 1890 reviews

Name: Brix and Mortar
Link: https://www.google.com/maps/search/Brix+and+Mortar/@49.2756123,-123.12191050000001?authuser=0&hl=en&entry=ttu
Reviews: 1648 reviews

Name: Published on Main
Link: https://www.google.com/maps/search/Published+on+Main/@49.252877399999996,-123.10122149999998?authuser=0&hl=en&entry=ttu
Reviews: 1551 reviews

Name: Torafuku
Link: https://www.google.com/maps/search/Torafuku/@49.2758915,-123.09960849999999?authuser=0&hl=en&entry=ttu
Reviews: 928 reviews

Name: Tocador
Link: https://www.google.com/maps/search/Tocador/@49.2618174,-123.10079359999999?authuser=0&hl=en&entry=ttu
Reviews: 717 reviews",http://www.burdockandco.com/,(604) 879-0077,,Burdock & Co (Owner),https://www.google.com/maps/contrib/112184239345523050361,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noxAF2c0cI6JTdP_6mH5_cNl8DTHf1_OvFzUTAdvxf5rF8OY9nZ4X88-zxwMp2Eq_tGprsfSYArUV7PdyUV6IT2Yvj7vd328E2Bc5vsw-1XLcgXvytsuz8tyNTB2yyo8WPqioNeJw=s1024,Fine dining restaurant,"Fine dining restaurant, Restaurant",5-10 p.m.,,"Tuesday, Wednesday","2702 Main St, Vancouver, BC V5T 3E8",,https://www.google.com/maps/place/Burdock+%26+Co/data=!4m7!3m6!1s0x548673e228e03a9b:0xfd2e326764242074!8m2!3d49.260991!4d-123.100812!16s%2Fg%2F12qhbgfm3!19sChIJmzrgKOJzhlQRdCAkZGcyLv0?authuser=0&hl=en&rclk=1,good restaurant in vancouver
ChIJiUwIWIBxhlQRzKG3k_9C-T8,Joe Fortes Seafood & Chop House,"For over 35 years, Joe Fortes has consistently earned and maintained its reputation as an award-winning Vancouver restaurant, specializing in premium seafood and chops.", ,7967,4.5,"Name: JOEY Burrard
Link: https://www.google.com/maps/search/JOEY+Burrard/@49.282606,-123.12318789999999?authuser=0&hl=en&entry=ttu
Reviews: 8267 reviews

Name: Cardero's Restaurant
Link: https://www.google.com/maps/search/Cardero's+Restaurant/@49.2916101,-123.1274816?authuser=0&hl=en&entry=ttu
Reviews: 6493 reviews

Name: Blue Water Cafe
Link: https://www.google.com/maps/search/Blue+Water+Cafe/@49.276154999999996,-123.12112909999999?authuser=0&hl=en&entry=ttu
Reviews: 3451 reviews

Name: Fanny Bay Oyster Bar & Shellfish Market
Link: https://www.google.com/maps/search/Fanny+Bay+Oyster+Bar+%26+Shellfish+Market/@49.278607900000004,-123.1141059?authuser=0&hl=en&entry=ttu
Reviews: 3268 reviews

Name: Riley's Fish & Steak
Link: https://www.google.com/maps/search/Riley's+Fish+%26+Steak/@49.2879155,-123.11526599999998?authuser=0&hl=en&entry=ttu
Reviews: 2529 reviews",http://www.joefortes.ca/,(604) 669-1940,,Joe Fortes Seafood & Chop House (Owner),https://www.google.com/maps/contrib/114495899722095633472,https://lh3.googleusercontent.com/p/AF1QipOZojeMfRYnWpTQzSVmqGykVlY9a3_yJ97LE5un=s1024,Seafood restaurant,Seafood restaurant,11 a.m.-11 p.m.,,Open All Days,"777 Thurlow St, Vancouver, BC V6E 3V5",,https://www.google.com/maps/place/Joe+Fortes+Seafood+%26+Chop+House/data=!4m7!3m6!1s0x5486718058084c89:0x3ff942ff93b7a1cc!8m2!3d49.2849486!4d-123.1245531!16s%2Fm%2F04yjpr_!19sChIJiUwIWIBxhlQRzKG3k_9C-T8?authuser=0&hl=en&rclk=1,good restaurant in vancouver
ChIJu1r9tIFxhlQRsfy5cILqdDs,Black+Blue,"Black+Blue is a premier dining destination in the heart of Vancouver, celebrated for its luxurious ambiance and exceptional steak offerings. As part of the renowned Glowbal Restaurant Group, Black+Blue combines modern elegance with classic steakhouse traditions. Guests enjoy a diverse menu featuring prime cuts of beef, fresh seafood, and an extensive wine list, all complemented by impeccable service. Whether for an intimate dinner or a grand event, Black+Blue promises an unforgettable culinary experience.",,7182,4.5, ,https://blackandbluesteakhouse.ca/vancouver-home/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,(604) 637-0777,,Black+Blue (Owner),https://www.google.com/maps/contrib/103070743363473976488,https://lh3.googleusercontent.com/p/AF1QipOHXnRI_viThXsCLuQRv0ElbRwnJgcVn6qWe1PW=s1024,Restaurant,"Restaurant, American restaurant, Bar, Brunch restaurant, Cocktail bar, Event venue, Fine dining restaurant, Steak house, Wine bar",11:30 a.m.-12 a.m.,,Open All Days,"1032 Alberni St, Vancouver, BC V6E 1A3",,https://www.google.com/maps/place/Black%2BBlue/data=!4m7!3m6!1s0x54867181b4fd5abb:0x3b74ea8270b9fcb1!8m2!3d49.2845363!4d-123.1228402!16s%2Fg%2F1hc7xxf02!19sChIJu1r9tIFxhlQRsfy5cILqdDs?authuser=0&hl=en&rclk=1,good restaurant in vancouver
ChIJJYVOCYNxhlQRrkWpvkO-Ao4,Botanist,"Vancouver's newest restaurant features a collection of four diverse spaces, dining room, cocktail bar and lab, garden, and a champagne lounge. The experience reflects a new Pacific Northwest, one that has always been here, just waiting to be discovered.",,1753,4.6,"Name: Cactus Club Cafe
Link: https://www.google.com/maps/search/Cactus+Club+Cafe/@49.289592899999995,-123.1181771?authuser=0&hl=en&entry=ttu
Reviews: 6791 reviews

Name: Nightingale
Link: https://www.google.com/maps/search/Nightingale/@49.2873977,-123.1174751?authuser=0&hl=en&entry=ttu
Reviews: 3466 reviews

Name: Brix and Mortar
Link: https://www.google.com/maps/search/Brix+and+Mortar/@49.2756123,-123.12191050000001?authuser=0&hl=en&entry=ttu
Reviews: 1648 reviews

Name: L'Abattoir
Link: https://www.google.com/maps/search/L'Abattoir/@49.283134499999996,-123.1044638?authuser=0&hl=en&entry=ttu
Reviews: 1564 reviews

Name: Five Sails Restaurant
Link: https://www.google.com/maps/search/Five+Sails+Restaurant/@49.2877204,-123.113231?authuser=0&hl=en&entry=ttu
Reviews: 1541 reviews",https://www.fairmont.com/en/hotels/vancouver/fairmont-pacific-rim/dining/botanist.restaurant.html?utm_source=google+Maps&utm_medium=seo+maps&utm_campaign=seo+maps,(604) 695-5437,,Botanist (Owner),https://www.google.com/maps/contrib/110410434792482581777,https://lh3.googleusercontent.com/p/AF1QipO0eYY3vjOs1xfAd3XoQKN2_LBbS0KfIrsS4AQA=s1024,Restaurant,Restaurant,"11:30 a.m.-1:30 p.m., 5:30-10 p.m.",,Open All Days,"1038 Canada Pl, Vancouver, BC V6C 0B9",,https://www.google.com/maps/place/Botanist/data=!4m7!3m6!1s0x54867183094e8525:0x8e02be43bea945ae!8m2!3d49.2882901!4d-123.116555!16s%2Fg%2F11dxrx07ql!19sChIJJYVOCYNxhlQRrkWpvkO-Ao4?authuser=0&hl=en&rclk=1,good restaurant in vancouver
ChIJ184e4X5xhlQREgkeHvFAYwE,Glowbal Restaurant,"Glowbal Restaurant, part of the esteemed Glowbal Restaurant Group, is a premier dining destination in Vancouver, BC. Our vibrant atmosphere attracts a lively late-night cocktail crowd, making it the perfect spot for socializing and unwinding. Enjoy our spacious patio, ideal for al fresco dining and soaking in the city's ambiance. Our renowned brunch service offers a delightful start to your weekends with a diverse and innovative menu. For special occasions and corporate events, we offer elegant private rooms. Experience exceptional cuisine, impeccable service, and a welcoming environment at Glowbal Restaurant.",,7569,4.6,"Name: Joe Fortes Seafood & Chop House
Link: https://www.google.com/maps/search/Joe+Fortes+Seafood+%26+Chop+House/@49.2849486,-123.12455310000001?authuser=0&hl=en&entry=ttu
Reviews: 7961 reviews

Name: Chambar Restaurant
Link: https://www.google.com/maps/search/Chambar+Restaurant/@49.2801271,-123.1099351?authuser=0&hl=en&entry=ttu
Reviews: 4172 reviews

Name: Gotham Steakhouse & Cocktail Bar
Link: https://www.google.com/maps/search/Gotham+Steakhouse+%26+Cocktail+Bar/@49.282900999999995,-123.11588449999999?authuser=0&hl=en&entry=ttu
Reviews: 2883 reviews

Name: Hawksworth Restaurant
Link: https://www.google.com/maps/search/Hawksworth+Restaurant/@49.283436099999996,-123.11920579999999?authuser=0&hl=en&entry=ttu
Reviews: 1903 reviews

Name: L'Abattoir
Link: https://www.google.com/maps/search/L'Abattoir/@49.283134499999996,-123.1044638?authuser=0&hl=en&entry=ttu
Reviews: 1564 reviews",https://glowbalgroup.com/glowbal/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,(604) 602-0835,,Glowbal Restaurant (Owner),https://www.google.com/maps/contrib/114567895131070873744,https://lh3.googleusercontent.com/p/AF1QipMX7qTszNOEq9izAeRLPKD3Stto2YnKIWLCFkg7=s1024,Restaurant,"Restaurant, Brunch restaurant, Pacific Northwest restaurant (Canada), Canadian restaurant, Cocktail bar, Event venue, Lunch restaurant, Seafood restaurant, Steak house, Wine bar",11:30 a.m.-11 p.m.,,Open All Days,"590 W Georgia St, Vancouver, BC V6E 1A3",,https://www.google.com/maps/place/Glowbal+Restaurant/data=!4m7!3m6!1s0x5486717ee11eced7:0x16340f11e1e0912!8m2!3d49.2815314!4d-123.1173984!16s%2Fg%2F11bv_dgg9_!19sChIJ184e4X5xhlQREgkeHvFAYwE?authuser=0&hl=en&rclk=1,good restaurant in vancouver
ChIJD9jfUoJxhlQR2Z9sjekAEFg,Nightingale,"Welcome to Nightingale where our California / Italian style cuisine gets social. Simple seasonal dishes are packed with flavour, our focus is on quality, excellence and fun. Served up in a lively two-level space with central bar, our fresh crudo and charcuterie, creative house-made pastas, proteins, hand-tossed pizzas, crisp salads and seasonal veggie dishes can be enjoyed with friends old and new. Pair dishes with local craft brews, an excellent selection of wines or creative and classic cocktails from our talented bar team.

Nightingale's name is inspired by Aesop's Fable of the Hawk & the Nightingale, which gives us the proverb 'A bird in the hand is worth two in the bush' - celebrate the here and now at Nightingale.",,3471,4.5,"Name: JOEY Burrard
Link: https://www.google.com/maps/search/JOEY+Burrard/@49.282606,-123.12318789999999?authuser=0&hl=en&entry=ttu
Reviews: 8267 reviews

Name: Cardero's Restaurant
Link: https://www.google.com/maps/search/Cardero's+Restaurant/@49.2916101,-123.1274816?authuser=0&hl=en&entry=ttu
Reviews: 6493 reviews

Name: Hawksworth Restaurant
Link: https://www.google.com/maps/search/Hawksworth+Restaurant/@49.283436099999996,-123.11920579999999?authuser=0&hl=en&entry=ttu
Reviews: 1903 reviews

Name: Botanist
Link: https://www.google.com/maps/search/Botanist/@49.2882901,-123.11655499999999?authuser=0&hl=en&entry=ttu
Reviews: 1751 reviews

Name: Alouette Bistro
Link: https://www.google.com/maps/search/Alouette+Bistro/@49.2853077,-123.11825309999999?authuser=0&hl=en&entry=ttu
Reviews: 901 reviews",http://hawknightingale.com/,(604) 695-9500,,Nightingale (Owner),https://www.google.com/maps/contrib/111258229305719246606,https://lh3.googleusercontent.com/p/AF1QipMqOfmLj0NvXUamf9ZHa-wk8D-58OaEYc_P-FjK=s1024,Canadian restaurant,Canadian restaurant,11:30 a.m.-11 p.m.,,Open All Days,"1017 W Hastings St, Vancouver, BC V6C 2G6",,https://www.google.com/maps/place/Nightingale/data=!4m7!3m6!1s0x5486718252dfd80f:0x581000e98d6c9fd9!8m2!3d49.2873977!4d-123.1174751!16s%2Fg%2F11cn6cj97z!19sChIJD9jfUoJxhlQR2Z9sjekAEFg?authuser=0&hl=en&rclk=1,good restaurant in vancouver
ChIJ71LS51dxhlQRfq2bLYvY8gY,Osteria Savio Volpe,"Savio Volpe is a restaurant styled after the classic osteria -- featuring rustic fare in the Italian tradition of freshness and regionality, using ingredients gathered from the nearby lakes, oceans, farms and fields. Everything is prepared in the simplest, most flavourful way, with pasta handmade fresh every day -- fatto a mano in casa -- and meat, poultry and fish kissed by smoke over the wood-fired grill and rotisserie. The 75-seat osteria, which was named 'Best Italian' at the 2019 Vancouver Magazine Restaurant Awards, also features a long list of friendly Italian wines and old-world coffee to inspire conversation and good cheer among friends, family and strangers alike.
By Banda Volpi, the gang behind Elio Volpe, La Tana, and Pepino's.",,3301,4.6,"Name: Ask For Luigi Restaurant
Link: https://www.google.com/maps/search/Ask+For+Luigi+Restaurant/@49.284200999999996,-123.09772410000001?authuser=0&hl=en&entry=ttu
Reviews: 2829 reviews

Name: Trattoria by Italian Kitchen
Link: https://www.google.com/maps/search/Trattoria+by+Italian+Kitchen/@49.2301941,-123.00393550000001?authuser=0&hl=en&entry=ttu
Reviews: 1145 reviews

Name: Nonna's Cucina ""Italian Street Food""
Link: https://www.google.com/maps/search/Nonna's+Cucina+%22Italian+Street+Food%22/@49.281013800000004,-123.06025460000001?authuser=0&hl=en&entry=ttu
Reviews: 994 reviews

Name: Osteria Elio Volpe
Link: https://www.google.com/maps/search/Osteria+Elio+Volpe/@49.255852,-123.11575789999999?authuser=0&hl=en&entry=ttu
Reviews: 575 reviews

Name: Locanda dell'Orso
Link: https://www.google.com/maps/search/Locanda+dell%E2%80%99Orso/@49.282578799999996,-123.11197039999999?authuser=0&hl=en&entry=ttu
Reviews: 148 reviews",http://www.saviovolpe.com/,(604) 428-0072,,Osteria Savio Volpe (Owner),https://www.google.com/maps/contrib/109773829823274008510,https://lh3.googleusercontent.com/p/AF1QipPH9XMz83NenjbEE-ckuoZ85aIcp6cpfe0Tlatj=s1024,Italian restaurant,Italian restaurant,5-10:30 p.m.,,Open All Days,"615 Kingsway, Vancouver, BC V5T 3K5","kale salad, broccolini, tasting menu, striploin, agnolotti, burrata, Tiramisu Sundae, pork belly, halibut, pork chop",https://www.google.com/maps/place/Osteria+Savio+Volpe/data=!4m7!3m6!1s0x54867157e7d252ef:0x6f2d88b2d9bad7e!8m2!3d49.2574425!4d-123.0909434!16s%2Fg%2F11bwp1p14w!19sChIJ71LS51dxhlQRfq2bLYvY8gY?authuser=0&hl=en&rclk=1,good restaurant in vancouver
ChIJOQXpDoZxhlQRwQ2A6Ulh9-w,Cardero's Restaurant,"Seafood, burgers & classic comfort dishes on expansive marina-side patio plus weekend brunch.",,6496,4.5,"Name: Joe Fortes Seafood & Chop House
Link: https://www.google.com/maps/search/Joe+Fortes+Seafood+%26+Chop+House/@49.2849486,-123.12455310000001?authuser=0&hl=en&entry=ttu
Reviews: 7961 reviews

Name: Blue Water Cafe
Link: https://www.google.com/maps/search/Blue+Water+Cafe/@49.276154999999996,-123.12112909999999?authuser=0&hl=en&entry=ttu
Reviews: 3451 reviews

Name: Ancora Waterfront Dining and Patio
Link: https://www.google.com/maps/search/Ancora+Waterfront+Dining+and+Patio/@49.2738285,-123.13254990000001?authuser=0&hl=en&entry=ttu
Reviews: 1288 reviews

Name: Brass Fish Tavern
Link: https://www.google.com/maps/search/Brass+Fish+Tavern/@49.287343199999995,-123.11712089999999?authuser=0&hl=en&entry=ttu
Reviews: 694 reviews

Name: Bacaro
Link: https://www.google.com/maps/search/Bacaro/@49.288007699999994,-123.11664269999999?authuser=0&hl=en&entry=ttu
Reviews: 363 reviews",https://www.vancouverdine.com/carderos/,(604) 669-7666,,Cardero's Restaurant (Owner),https://www.google.com/maps/contrib/110013995718370207543,https://lh3.googleusercontent.com/p/AF1QipNzed43i1Vry-cErN-I0WyMOUP89mi1NRdEofi_=s1024,Seafood restaurant,"Seafood restaurant, Pub",11:30 a.m.-10:45 p.m.,,Open All Days,"1583 Coal Harbour Quay, Vancouver, BC V6G 3J7",,https://www.google.com/maps/place/Cardero%27s+Restaurant/data=!4m7!3m6!1s0x548671860ee90539:0xecf76149e9800dc1!8m2!3d49.2916101!4d-123.1274816!16s%2Fg%2F113jd0fkk!19sChIJOQXpDoZxhlQRwQ2A6Ulh9-w?authuser=0&hl=en&rclk=1,good restaurant in vancouver
ChIJZ04tZ9ZzhlQRDsJZp_cOS4U,Blue Water Cafe,"Blue Water Cafe is Vancouver's definitive destination for seafood, widely known for its excellence in celebrating the extraordinary flavours of BC. Consistently awarded ""Best Seafood Restaurant"" in Vancouver and recognized for its unparalleled service, an evening at Blue Water Cafe is truly an unforgettable experience.",,3457,4.7,"Name: Joe Fortes Seafood & Chop House
Link: https://www.google.com/maps/search/Joe+Fortes+Seafood+%26+Chop+House/@49.2849486,-123.12455310000001?authuser=0&hl=en&entry=ttu
Reviews: 7961 reviews

Name: Black+Blue
Link: https://www.google.com/maps/search/Black%2BBlue/@49.2845363,-123.1228402?authuser=0&hl=en&entry=ttu
Reviews: 7166 reviews

Name: The Sandbar Seafood Restaurant
Link: https://www.google.com/maps/search/The+Sandbar+Seafood+Restaurant/@49.2715215,-123.13414789999999?authuser=0&hl=en&entry=ttu
Reviews: 4743 reviews

Name: Chambar Restaurant
Link: https://www.google.com/maps/search/Chambar+Restaurant/@49.2801271,-123.1099351?authuser=0&hl=en&entry=ttu
Reviews: 4172 reviews

Name: Brix and Mortar
Link: https://www.google.com/maps/search/Brix+and+Mortar/@49.2756123,-123.12191050000001?authuser=0&hl=en&entry=ttu
Reviews: 1648 reviews",https://bluewatercafe.ca/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,(604) 688-8078,,Blue Water Cafe (Owner),https://www.google.com/maps/contrib/104031234057247974385,https://lh3.googleusercontent.com/p/AF1QipOP3kR2Wb2i8meyKJ-jjKJXaVXIDysE3j-8tJVt=s1024,Restaurant,"Restaurant, Cafe, Cocktail bar, Fine dining restaurant, Seafood restaurant, Sushi restaurant, Wine bar",4:30-10:30 p.m.,,Open All Days,"1095 Hamilton St, Vancouver, BC V6B 2W9","sablefish, oysters, scallops, sushi, wagyu, wine list, short ribs, chocolate cake, tenderloin steak, cocktails",https://www.google.com/maps/place/Blue+Water+Cafe/data=!4m7!3m6!1s0x548673d6672d4e67:0x854b0ef7a759c20e!8m2!3d49.276155!4d-123.1211291!16s%2Fm%2F04xhnhq!19sChIJZ04tZ9ZzhlQRDsJZp_cOS4U?authuser=0&hl=en&rclk=1,good restaurant in vancouver
ChIJF404P3dxhlQRHC17KP9ESTY,Le Crocodile by Rob Feenie,Contemporary French cooking by acclaimed Rob Feenie - paying homage to its legacy while embracing his West Coast culinary roots.,,1713,4.6,"Name: Chambar Restaurant
Link: https://www.google.com/maps/search/Chambar+Restaurant/@49.2801271,-123.1099351?authuser=0&hl=en&entry=ttu
Reviews: 4172 reviews

Name: Hawksworth Restaurant
Link: https://www.google.com/maps/search/Hawksworth+Restaurant/@49.283436099999996,-123.11920579999999?authuser=0&hl=en&entry=ttu
Reviews: 1903 reviews

Name: L'Abattoir
Link: https://www.google.com/maps/search/L'Abattoir/@49.283134499999996,-123.1044638?authuser=0&hl=en&entry=ttu
Reviews: 1564 reviews

Name: Alouette Bistro
Link: https://www.google.com/maps/search/Alouette+Bistro/@49.2853077,-123.11825309999999?authuser=0&hl=en&entry=ttu
Reviews: 901 reviews

Name: Au Petit Comptoir
Link: https://www.google.com/maps/search/Au+Petit+Comptoir/@49.2748364,-123.13079640000001?authuser=0&hl=en&entry=ttu
Reviews: 359 reviews",http://lecrocodilerestaurant.com/,(604) 669-4298,,Le Crocodile by Rob Feenie (Owner),https://www.google.com/maps/contrib/115379547021017974136,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrxjcwVDXCXlkuniEodRIyIwPXJYgw1MVJHYpmgJ2fhiS2xkb65di1F9bVJiuXmJfgY3fhml_IsizxHwz0u0-BYvxhKZZpSem40gMN5NA0FjaQqzsAXmATQvlXInq1AoA86i0o_=s1024,French restaurant,French restaurant,"11:30 a.m.-2 p.m., 5-10 p.m.",,Open All Days,"909 Burrard St #100, Vancouver, BC V6Z 2N2",,https://www.google.com/maps/place/Le+Crocodile+by+Rob+Feenie/data=!4m7!3m6!1s0x548671773f388d17:0x364944ff287b2d1c!8m2!3d49.2825301!4d-123.1252212!16s%2Fm%2F04yjrg9!19sChIJF404P3dxhlQRHC17KP9ESTY?authuser=0&hl=en&rclk=1,good restaurant in vancouver
