"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categoryName","url"
"Apna Bhaia Sweet","3.8","664","6616 Fraser St","Vancouver","British Columbia","CA","https://apnabhaia.com/?utm_source=google&utm_medium=maps&utm_campaign=website","+1 604-323-2805","Indian restaurant","https://www.google.com/maps/search/?api=1&query=Apna%20Bhaia%20Sweet&query_place_id=ChIJJ5U7GUB0hlQReNCs5dCPdR4"
"New Bhaia Sweet Shop and Restaurant","3.2","537","5740 Fraser St","Vancouver","British Columbia","CA","https://newbhaiasweet.com/","+1 604-323-2100","Restaurant","https://www.google.com/maps/search/?api=1&query=New%20Bhaia%20Sweet%20Shop%20and%20Restaurant&query_place_id=ChIJ4WZk-hh_C0ER8CTTCm4wn_U"
"Ms Tiffin’s Indian Restaurant","4.4","102","6084 Fraser St","Vancouver","British Columbia","CA","https://www.mstiffin.ca/","+1 604-677-4227","Indian restaurant","https://www.google.com/maps/search/?api=1&query=Ms%20Tiffin%E2%80%99s%20Indian%20Restaurant&query_place_id=ChIJu-hEihR0hlQRLeQz3FBKjPA"
"Jun Yuan Restaurant","3.8","437","5728 Victoria Dr","Vancouver","British Columbia","CA","https://junyuan.ca/","+1 604-323-1918","Hot pot restaurant","https://www.google.com/maps/search/?api=1&query=Jun%20Yuan%20Restaurant&query_place_id=ChIJSX152iF0hlQRDN8BKFy5XCs"
"New Novelty Sweet & Restaurant","3.6","215","6669 Fraser St","Vancouver","British Columbia","CA","https://newnoveltyrestaurant.com/","+1 604-326-1111","Indian restaurant","https://www.google.com/maps/search/?api=1&query=New%20Novelty%20Sweet%20%26%20Restaurant&query_place_id=ChIJIRVLI0B0hlQRsjthWj632Dg"
"JAPADOG (South Vancouver)","3.9","58","8130 Ontario St","Vancouver","British Columbia","CA","http://www.japadog.com/","+1 604-322-6465","Hot dog stand","https://www.google.com/maps/search/?api=1&query=JAPADOG%20(South%20Vancouver)&query_place_id=ChIJmZQ9YmV1hlQRRmSTe8GfiKM"
"McDonald's","3.6","1383","7295 Knight St","Vancouver","British Columbia","CA","https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html?y_source=1_MTQ1MTk2OTMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","+1 604-718-1197","Fast food restaurant","https://www.google.com/maps/search/?api=1&query=McDonald's&query_place_id=ChIJtWeGJDh0hlQRjLTIRAjNxDQ"
"McDonald's","3.4","1433","5661 Victoria Dr","Vancouver","British Columbia","CA","https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html?y_source=1_MTQ1MTk1ODctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","+1 604-718-1160","Fast food restaurant","https://www.google.com/maps/search/?api=1&query=McDonald's&query_place_id=ChIJ81QafB90hlQRQLI8OmR2cFE"
"Mabuhay Supermarket and Restaurant (Food Delivery Through Website Available: 0.99)","3.7","71","3369 Kingsway #1","Vancouver","British Columbia","CA","https://www.mabuhayfoods.ca/","+1 604-453-0343","Produce market","https://www.google.com/maps/search/?api=1&query=Mabuhay%20Supermarket%20and%20Restaurant%20(Food%20Delivery%20Through%20Website%20Available%3A%200.99)&query_place_id=ChIJ4cEOuJF2hlQRxVVV63urwUg"
"Max's Restaurant Vancouver, Cuisine of the Philippines","4.1","1705","3546 Kingsway","Vancouver","British Columbia","CA","https://www.maxsrestaurantna.com/","+1 604-330-0151","Filipino restaurant","https://www.google.com/maps/search/?api=1&query=Max's%20Restaurant%20Vancouver%2C%20Cuisine%20of%20the%20Philippines&query_place_id=ChIJ9_jRPul3hlQRHu7uUdvkabc"
"Main Kabab Hut","3.8","392","215 E 49th Ave","Vancouver","British Columbia","CA",,"+1 604-322-8715","Restaurant","https://www.google.com/maps/search/?api=1&query=Main%20Kabab%20Hut&query_place_id=ChIJS7DPXWl0hlQRDlcIVY5lWoo"
"New Fishport Seafood Bistro","3.9","290","620 SE Marine Dr","Vancouver","British Columbia","CA","https://newfishport.com/","+1 604-323-1318","Chinese restaurant","https://www.google.com/maps/search/?api=1&query=New%20Fishport%20Seafood%20Bistro&query_place_id=ChIJn6xdOQF1hlQRCNrrNczEZ_Q"
"Himalaya Restaurant","3.5","800","6587 Main St","Vancouver","British Columbia","CA","https://order.online/business/himalaya-restaurant-59631","+1 604-324-6514","Indian restaurant","https://www.google.com/maps/search/?api=1&query=Himalaya%20Restaurant&query_place_id=ChIJpfU6bWl0hlQR6d6lwBQdXQA"
"SAMURAI SUSHI ON FRASER","3.9","772","6428 Fraser St","Vancouver","British Columbia","CA","http://samuraisushi.ca/","+1 604-676-4479","Sushi takeaway","https://www.google.com/maps/search/?api=1&query=SAMURAI%20SUSHI%20ON%20FRASER&query_place_id=ChIJdz3sNRV0hlQRmd_vjbfP8Ps"
"Dewan-E-Khass","3.9","1286","5750 Fraser St","Vancouver","British Columbia","CA","http://dewanekhass.ca/dishes/","+1 604-327-4800","Pakistani restaurant","https://www.google.com/maps/search/?api=1&query=Dewan-E-Khass&query_place_id=ChIJN4JgwxN0hlQRYZFSNrW3s-s"
"Gold Train Express Restaurant","3.5","1281","3320 Kingsway","Vancouver","British Columbia","CA","http://goldtrainexpressrestaurant.zomi.menu/","+1 604-433-7577","Pho restaurant","https://www.google.com/maps/search/?api=1&query=Gold%20Train%20Express%20Restaurant&query_place_id=ChIJqXdxrpF2hlQR1LZ_EtRe3IU"
"Mui Garden Restaurant","3.7","764","5797 Victoria Dr","Vancouver","British Columbia","CA","http://www.muigarden.com/","+1 604-324-3665","Chinese restaurant","https://www.google.com/maps/search/?api=1&query=Mui%20Garden%20Restaurant&query_place_id=ChIJg8j46SF0hlQRQNZ8JJ4sP4o"
"Best Quality Sweets & Restaurant","3.9","511","7260 Main St","Vancouver","British Columbia","CA","https://bestqualitysweets.com/?","+1 604-324-6677","Vegetarian restaurant","https://www.google.com/maps/search/?api=1&query=Best%20Quality%20Sweets%20%26%20Restaurant&query_place_id=ChIJEY4lLF10hlQRGWLYOd65D40"
"Handson Steak and Frites Restaurant",,"0","847 Denman St","Vancouver","British Columbia","CA",,,"Restaurant","https://www.google.com/maps/search/?api=1&query=Handson%20Steak%20and%20Frites%20Restaurant&query_place_id=ChIJGZFmVABzhlQRf9IjSnn1hZA"
"Bisou Bake House Bidwell","4.2","417","1190 Bidwell St","Vancouver","British Columbia","CA","http://www.bisoubakehouse.com/","+1 604-559-5657","Cafe","https://www.google.com/maps/search/?api=1&query=Bisou%20Bake%20House%20Bidwell&query_place_id=ChIJ5TZ41eBzhlQRFwUz7_YhsvI"
"Pigot's Burger Club","3.7","27","1795 Beach Ave","Vancouver","British Columbia","CA","https://pigotsburgerclub.com/","+1 778-222-3006","Hamburger restaurant","https://www.google.com/maps/search/?api=1&query=Pigot's%20Burger%20Club&query_place_id=ChIJHw8i_0pzhlQRl0BXt9l4qOU"
"Middle Eastern Restaurant",,"0","1114 Denman St","Vancouver","British Columbia","CA",,,"Restaurant","https://www.google.com/maps/search/?api=1&query=Middle%20Eastern%20Restaurant&query_place_id=ChIJARUHc1RzhlQRRfqwMRfBOrU"
"A&W Canada","4.1","561","991 Denman St","Vancouver","British Columbia","CA","https://web.aw.ca/","+1 604-681-0466","Hamburger restaurant","https://www.google.com/maps/search/?api=1&query=A%26W%20Canada&query_place_id=ChIJLWAyzidyhlQR2PjBgFfH4S4"
"Bento Sushi","2.5","2","1766 Robson St","Vancouver","British Columbia","CA","https://www.bentosushi.com/","+1 905-513-0028","Sushi takeaway","https://www.google.com/maps/search/?api=1&query=Bento%20Sushi&query_place_id=ChIJGRETSPBxhlQRiRd3Vqqgs88"
"Wo's Chinese Restaurant 金穗園美食","4.3","411","8166 Main St","Vancouver","British Columbia","CA","https://woschineserestaurant.com/","+1 604-323-8093","Chinese restaurant","https://www.google.com/maps/search/?api=1&query=Wo's%20Chinese%20Restaurant%20%E9%87%91%E7%A9%97%E5%9C%92%E7%BE%8E%E9%A3%9F&query_place_id=ChIJbXXGi1l0hlQRrXnLPCRJkM0"
"True Confections Denman","3.9","1284","866 Denman St","Vancouver","British Columbia","CA","http://trueconfections.ca/","+1 604-682-1292","Dessert restaurant","https://www.google.com/maps/search/?api=1&query=True%20Confections%20Denman&query_place_id=ChIJZayr6SdyhlQRYiwJnBLt6wc"
"Koon Bo Restaurant","3.8","632","5682 Fraser St","Vancouver","British Columbia","CA","http://www.koonborestaurant.ca/","+1 604-323-1218","Seafood restaurant","https://www.google.com/maps/search/?api=1&query=Koon%20Bo%20Restaurant&query_place_id=ChIJKyAx1RN0hlQRFfkmTXsUReg"
"Kim Phụng Restaurant","4.3","223","5764 Victoria Dr","Vancouver","British Columbia","CA",,"+1 604-327-4490","Vietnamese restaurant","https://www.google.com/maps/search/?api=1&query=Kim%20Ph%E1%BB%A5ng%20Restaurant&query_place_id=ChIJr8XowyF0hlQR0nJegQ4FgFM"
"Pin Pin Restaurant","4.1","840","6113 Fraser St","Vancouver","British Columbia","CA","http://www.pinpinrestaurant.com/","+1 604-322-3086","Filipino restaurant","https://www.google.com/maps/search/?api=1&query=Pin%20Pin%20Restaurant&query_place_id=ChIJS-9IjRR0hlQRPEb9bYcmx8w"
"Flamingo Chinese Restaurant","4","527","1652 SE Marine Dr","Vancouver","British Columbia","CA","http://www.flamingorestaurant.com/","+1 604-325-4511","Chinese restaurant","https://www.google.com/maps/search/?api=1&query=Flamingo%20Chinese%20Restaurant&query_place_id=ChIJ1SC-VD5_C0ERFR2rRlPM0G8"
"Chu Kiang Chinese Restaurant","4.1","159","6491 Knight St","Vancouver","British Columbia","CA","https://chukiangrestaurant.com/","+1 604-327-8835","Chinese restaurant","https://www.google.com/maps/search/?api=1&query=Chu%20Kiang%20Chinese%20Restaurant&query_place_id=ChIJGY2lSTx0hlQRrlXKXeBi9W4"
"Barcelos Flame Grilled Chicken - South Vancouver","4.4","173","713 SE Marine Dr","Vancouver","British Columbia","CA",,"+1 604-947-4444","Chicken restaurant","https://www.google.com/maps/search/?api=1&query=Barcelos%20Flame%20Grilled%20Chicken%20-%20South%20Vancouver&query_place_id=ChIJx_SHsCx1hlQRQ7RIoypZjzE"
"Cantonese BBQ Seafood Restaurant Authentic Cantonese Food (Best Price on Website!)","3.8","373","3320 Kingsway #320","Vancouver","British Columbia","CA","https://cantonesebbqseafood.zomi.menu/","+1 778-737-1700","Cantonese restaurant","https://www.google.com/maps/search/?api=1&query=Cantonese%20BBQ%20Seafood%20Restaurant%20Authentic%20Cantonese%20Food%20(Best%20Price%20on%20Website!)&query_place_id=ChIJ2dYrzfx3hlQRka1rpBGYfbI"
"Thai Son Restaurant","3.6","428","6471 Victoria Dr","Vancouver","British Columbia","CA","http://www.thaison.ca/","+1 604-325-6436","Vietnamese restaurant","https://www.google.com/maps/search/?api=1&query=Thai%20Son%20Restaurant&query_place_id=ChIJb3F-iyR0hlQRqg5dTEbOaIA"
"Michi Craft Kitchen","3.9","216","#180, 3665 Kingsway","Vancouver","British Columbia","CA","https://michi-craft-kitchen.myshopify.com/zh-cn/","+1 604-336-9968","Asian fusion restaurant","https://www.google.com/maps/search/?api=1&query=Michi%20Craft%20Kitchen&query_place_id=ChIJP1Bjs3N3hlQRGkNMRKjV518"
